id,name
res_subdistrict_4081,ต.หนองยายพิมพ์
res_subdistrict_4210,ต.หนองโบสถ์
res_subdistrict_1066,ต.ตาเป๊ก
res_subdistrict_1099,ต.ถาวร
res_subdistrict_3090,ต.ยายแย้มวัฒนา
res_subdistrict_4539,ต.อีสานเขต
res_subdistrict_4758,ต.เจริญสุข
res_subdistrict_2283,ต.บ้านด่าน
res_subdistrict_4385,ต.หินโคน
res_subdistrict_4381,ต.หินลาด
res_subdistrict_5279,ต.แสลงพัน
res_subdistrict_5627,ต.ไทยเจริญ
res_subdistrict_1080,ต.ตูมใหญ่
res_subdistrict_2442,ต.บ้านแพ
res_subdistrict_2562,ต.ปะเคียบ
res_subdistrict_2780,ต.พรสำราญ
res_subdistrict_3929,ต.หนองขมาร
res_subdistrict_4383,ต.หินเหล็กไฟ
res_subdistrict_545,ต.จรเข้มาก
res_subdistrict_1004,ต.ตะโกตาพิ
res_subdistrict_2522,ต.ประโคนชัย
res_subdistrict_2568,ต.ปังกู
res_subdistrict_3201,ต.ละเวี้ย
res_subdistrict_3865,ต.สี่เหลี่ยม
res_subdistrict_4016,ต.หนองบอน
res_subdistrict_4665,ต.เขาคอก
res_subdistrict_5281,ต.แสลงโทน
res_subdistrict_5345,ต.โคกมะขาม
res_subdistrict_5349,ต.โคกม้า
res_subdistrict_5351,ต.โคกย่าง
res_subdistrict_578,ต.จันดุม
res_subdistrict_2659,ต.ป่าชัน
res_subdistrict_5321,ต.โคกขมิ้น
res_subdistrict_580,ต.จันทบเพชร
res_subdistrict_2148,ต.บึงเจริญ
res_subdistrict_2224,ต.บ้านกรวด
res_subdistrict_3800,ต.สายตะกู
res_subdistrict_4228,ต.หนองไม้งาม
res_subdistrict_4679,ต.เขาดินเหนือ
res_subdistrict_5475,ต.โนนเจริญ
res_subdistrict_4467,ต.ห้วยหิน
res_subdistrict_658,ต.ชำนิ
res_subdistrict_695,ต.ช่อผกา
res_subdistrict_3191,ต.ละลวด
res_subdistrict_4048,ต.หนองปล่อง
res_subdistrict_5357,ต.โคกสนวน
res_subdistrict_757,ต.ดงพลอง
res_subdistrict_4321,ต.หัวฝาย
res_subdistrict_5077,ต.แคนดง
res_subdistrict_780,ต.ดงอีจาน
res_subdistrict_1216,ต.ทุ่งจังหัน
res_subdistrict_5304,ต.โกรกแก้ว
res_subdistrict_5465,ต.โนนสุวรรณ
res_subdistrict_804,ต.ดอนกอก
res_subdistrict_2254,ต.บ้านคู
res_subdistrict_862,ต.ดอนอะราง
res_subdistrict_1191,ต.ทุ่งกระตาดพัฒนา
res_subdistrict_1196,ต.ทุ่งกระเต็น
res_subdistrict_1470,ต.ท่าโพธิ์ชัย
res_subdistrict_2155,ต.บุกระสัง
res_subdistrict_4949,ต.เย้ยปราสาท
res_subdistrict_952,ต.ตลาดโพธิ์
res_subdistrict_1136,ต.ทะเมนชัย
res_subdistrict_2168,ต.บุโพธิ์
res_subdistrict_2742,ต.ผไทรินทร์
res_subdistrict_3248,ต.ลำปลายมาศ
res_subdistrict_3912,ต.หนองกะทิง
res_subdistrict_4939,ต.เมืองแฝก
res_subdistrict_1031,ต.ตาจง
res_subdistrict_3194,ต.ละหานทราย
res_subdistrict_3840,ต.สำโรงใหม่
res_subdistrict_3979,ต.หนองตะครอง
res_subdistrict_5354,ต.โคกว่าน
res_subdistrict_1068,ต.ตาเสา
res_subdistrict_2286,ต.บ้านตะโก
res_subdistrict_3567,ต.สนวน
res_subdistrict_3795,ต.สามแวง
res_subdistrict_4451,ต.ห้วยราช
res_subdistrict_4452,ต.ห้วยราชา
res_subdistrict_4942,ต.เมืองโพธิ์
res_subdistrict_5385,ต.โคกเหล็ก
res_subdistrict_3408,ต.วังเหนือ
res_subdistrict_2263,ต.บ้านจาน
res_subdistrict_2452,ต.บ้านแวง
res_subdistrict_2905,ต.พุทไธสง
res_subdistrict_2989,ต.มะเฟือง
res_subdistrict_5418,ต.โนนขวาง
res_subdistrict_2555,ต.ปะคำ
